"","satisfaction_aadhaar","state","Freq","Percent"
"1","Don't Know","Andhra Pradesh",0,0
"2","Neither satisfied nor unsatisfied","Andhra Pradesh",791629.152508363,0.0132918250105498
"3","No Response","Andhra Pradesh",0,0
"4","Somewhat satisfied","Andhra Pradesh",29829418.6445257,0.500849939056884
"5","Somewhat unsatisfied","Andhra Pradesh",271375.523196908,0.00455652240073559
"6","Very satisfied","Andhra Pradesh",28656249.5827504,0.481151879899388
"7","Very unsatisfied","Andhra Pradesh",8923.73104323435,0.000149833632442722
"8","Don't Know","Assam",56085.5737844291,0.0154223471951877
"9","Neither satisfied nor unsatisfied","Assam",826291.224682282,0.22721261977933
"10","No Response","Assam",1587.23059833877,0.000436454862002358
"11","Somewhat satisfied","Assam",1027358.86123657,0.28250196945372
"12","Somewhat unsatisfied","Assam",124163.914437771,0.0341424517636748
"13","Very satisfied","Assam",1601156.37768938,0.440284156946085
"14","Very unsatisfied","Assam",0,0
"15","Don't Know","Bihar",66934.3908068478,0.000627152763142433
"16","Neither satisfied nor unsatisfied","Bihar",2515653.86387374,0.0235708318671505
"17","No Response","Bihar",6900.9470814472,6.46595565935373e-05
"18","Somewhat satisfied","Bihar",23505391.6429625,0.220237625829275
"19","Somewhat unsatisfied","Bihar",4319225.87070602,0.0404696958737754
"20","Very satisfied","Bihar",76242046.8648123,0.714362374595783
"21","Very unsatisfied","Bihar",71257.5714900413,0.000667659514281063
"22","Don't Know","Chandigarh",3219.90089377274,0.00232018561484919
"23","Neither satisfied nor unsatisfied","Chandigarh",45078.6125128183,0.0324825986078886
"24","No Response","Chandigarh",0,0
"25","Somewhat satisfied","Chandigarh",180314.450051273,0.129930394431555
"26","Somewhat unsatisfied","Chandigarh",9659.70268131821,0.00696055684454756
"27","Very satisfied","Chandigarh",1149504.61907687,0.82830626450116
"28","Very unsatisfied","Chandigarh",0,0
"29","Don't Know","Chhattisgarh",16680.9274952811,0.000544215459446054
"30","Neither satisfied nor unsatisfied","Chhattisgarh",784343.938918928,0.0255892304071967
"31","No Response","Chhattisgarh",3752.38694992542,0.000122421669211783
"32","Somewhat satisfied","Chhattisgarh",15638075.3928885,0.510192397107437
"33","Somewhat unsatisfied","Chhattisgarh",138545.465740538,0.00452004748018263
"34","Very satisfied","Chhattisgarh",14039003.810002,0.458022667551698
"35","Very unsatisfied","Chhattisgarh",30927.8146873136,0.00100902032482788
"36","Don't Know","Delhi",0,0
"37","Neither satisfied nor unsatisfied","Delhi",105242.091021108,0.00542749260275917
"38","No Response","Delhi",0,0
"39","Somewhat satisfied","Delhi",4109241.351426,0.211919744480785
"40","Somewhat unsatisfied","Delhi",0,0
"41","Very satisfied","Delhi",15176071.0407789,0.782652762916455
"42","Very unsatisfied","Delhi",0,0
"43","Don't Know","Goa",3678.25042850904,0.00252502941154297
"44","Neither satisfied nor unsatisfied","Goa",297357.413108624,0.204128628116264
"45","No Response","Goa",0,0
"46","Somewhat satisfied","Goa",899542.762752776,0.617514216891444
"47","Somewhat unsatisfied","Goa",200822.132532986,0.137859507119017
"48","Very satisfied","Goa",42947.705425849,0.0294825546727414
"49","Very unsatisfied","Goa",12367.6107007556,0.00849006378898995
"50","Don't Know","Gujarat",0,0
"51","Neither satisfied nor unsatisfied","Gujarat",0,0
"52","No Response","Gujarat",0,0
"53","Somewhat satisfied","Gujarat",7783176.29922364,0.118061285955366
"54","Somewhat unsatisfied","Gujarat",2819.11784061277,4.27625772212892e-05
"55","Very satisfied","Gujarat",58070576.4668795,0.880859776301492
"56","Very unsatisfied","Gujarat",68309.7251395633,0.00103617516592023
"57","Don't Know","Haryana",0,0
"58","Neither satisfied nor unsatisfied","Haryana",221573.238280396,0.0083144494510879
"59","No Response","Haryana",0,0
"60","Somewhat satisfied","Haryana",8858367.78302658,0.332406800219774
"61","Somewhat unsatisfied","Haryana",57901.6478384015,0.00217273677914954
"62","Very satisfied","Haryana",17497575.7435455,0.656589713475171
"63","Very unsatisfied","Haryana",13758.9722776901,0.000516300074817726
"64","Don't Know","Himachal Pradesh",0,0
"65","Neither satisfied nor unsatisfied","Himachal Pradesh",13565.5033809488,0.00153677852385033
"66","No Response","Himachal Pradesh",12670.4893759563,0.00143538617129308
"67","Somewhat satisfied","Himachal Pradesh",1271436.96848316,0.14403571859621
"68","Somewhat unsatisfied","Himachal Pradesh",0,0
"69","Very satisfied","Himachal Pradesh",7529560.87266402,0.852992116708646
"70","Very unsatisfied","Himachal Pradesh",0,0
"71","Don't Know","Jammu and Kashmir",63485.1561825326,0.00682869603909136
"72","Neither satisfied nor unsatisfied","Jammu and Kashmir",978137.201025408,0.105212021706704
"73","No Response","Jammu and Kashmir",21002.857457406,0.002259144312674
"74","Somewhat satisfied","Jammu and Kashmir",2903728.08981404,0.312335633994504
"75","Somewhat unsatisfied","Jammu and Kashmir",121733.029220983,0.0130940507112848
"76","Very satisfied","Jammu and Kashmir",5117348.13720166,0.550440718058363
"77","Very unsatisfied","Jammu and Kashmir",91385.2761048991,0.00982973517737828
"78","Don't Know","Jharkhand",0,0
"79","Neither satisfied nor unsatisfied","Jharkhand",150210.150133109,0.00494442786999123
"80","No Response","Jharkhand",13318.6921439129,0.000438407874366947
"81","Somewhat satisfied","Jharkhand",5352386.815089,0.176183104244607
"82","Somewhat unsatisfied","Jharkhand",70006.8598798025,0.00230439733116258
"83","Very satisfied","Jharkhand",24502766.0688113,0.806551084165395
"84","Very unsatisfied","Jharkhand",290994.176586884,0.00957857851447683
"85","Don't Know","Karnataka",0,0
"86","Neither satisfied nor unsatisfied","Karnataka",9292827.26254404,0.12933726141408
"87","No Response","Karnataka",21666.0636906972,0.000301547555357299
"88","Somewhat satisfied","Karnataka",26485426.6507563,0.368623289082264
"89","Somewhat unsatisfied","Karnataka",1177972.0784384,0.0163949762911836
"90","Very satisfied","Karnataka",34618456.5776506,0.481818529672079
"91","Very unsatisfied","Karnataka",253226.353609616,0.00352439598503577
"92","Don't Know","Kerala",2270.28157744548,6.03397558385576e-05
"93","Neither satisfied nor unsatisfied","Kerala",11479101.5717805,0.305092633869057
"94","No Response","Kerala",2240.34277682722,5.95440395990603e-05
"95","Somewhat satisfied","Kerala",20335490.6918111,0.54047857120076
"96","Somewhat unsatisfied","Kerala",1558436.24972209,0.0414202642229065
"97","Very satisfied","Kerala",4233810.40277666,0.112526608376808
"98","Very unsatisfied","Kerala",13621.6894646729,0.000362038535031346
"99","Don't Know","Madhya Pradesh",378942.656398104,0.00470125334116008
"100","Neither satisfied nor unsatisfied","Madhya Pradesh",6467734.62010059,0.0802402645336942
"101","No Response","Madhya Pradesh",22867.6050082936,0.000283700983867667
"102","Somewhat satisfied","Madhya Pradesh",22242339.1308675,0.275943785659095
"103","Somewhat unsatisfied","Madhya Pradesh",2336803.50946052,0.0289909439357085
"104","Very satisfied","Madhya Pradesh",48426514.6161992,0.600790937088294
"105","Very unsatisfied","Madhya Pradesh",729400.273074253,0.0090491144581805
"106","Don't Know","Maharashtra",16442.8440349548,0.000130477933815017
"107","Neither satisfied nor unsatisfied","Maharashtra",5402925.97824567,0.0428735209491945
"108","No Response","Maharashtra",0,0
"109","Somewhat satisfied","Maharashtra",60329123.897671,0.478726150920393
"110","Somewhat unsatisfied","Maharashtra",3794110.45240894,0.0301071816678359
"111","Very satisfied","Maharashtra",56205070.4524057,0.446000792014293
"112","Very unsatisfied","Maharashtra",272439.923831367,0.0021618765144685
"113","Don't Know","Meghalaya",0,0
"114","Neither satisfied nor unsatisfied","Meghalaya",1614155.39724377,0.996121026995911
"115","No Response","Meghalaya",0,0
"116","Somewhat satisfied","Meghalaya",0,0
"117","Somewhat unsatisfied","Meghalaya",6285.64706559398,0.0038789730040891
"118","Very satisfied","Meghalaya",0,0
"119","Very unsatisfied","Meghalaya",0,0
"120","Don't Know","Odisha",0,0
"121","Neither satisfied nor unsatisfied","Odisha",208456.484305323,0.00431301193572761
"122","No Response","Odisha",0,0
"123","Somewhat satisfied","Odisha",15108369.8324573,0.312595598232064
"124","Somewhat unsatisfied","Odisha",157675.011317886,0.00326233174298365
"125","Very satisfied","Odisha",32816525.820896,0.678981361631951
"126","Very unsatisfied","Odisha",40970.8634881214,0.000847696457273609
"127","Don't Know","Puducherry",0,0
"128","Neither satisfied nor unsatisfied","Puducherry",330000.330796745,0.184389291826564
"129","No Response","Puducherry",0,0
"130","Somewhat satisfied","Puducherry",1212158.37962825,0.677299397432885
"131","Somewhat unsatisfied","Puducherry",53532.7514587506,0.0299116855646007
"132","Very satisfied","Puducherry",189414.820613466,0.105836453406116
"133","Very unsatisfied","Puducherry",4587.29204692415,0.00256317176983362
"134","Don't Know","Punjab",0,0
"135","Neither satisfied nor unsatisfied","Punjab",1418921.36689847,0.0462574952381554
"136","No Response","Punjab",8385.03576184471,0.000273356058252274
"137","Somewhat satisfied","Punjab",19460012.4360563,0.634405438944758
"138","Somewhat unsatisfied","Punjab",196493.494508235,0.00640577913518274
"139","Very satisfied","Punjab",9569753.15883351,0.311978395351586
"140","Very unsatisfied","Punjab",20844.3434330267,0.000679535272066066
"141","Don't Know","Rajasthan",6391.18387904351,0.000103024762710594
"142","Neither satisfied nor unsatisfied","Rajasthan",3230138.80440978,0.0520692707555774
"143","No Response","Rajasthan",9834.77822993227,0.000158534899421752
"144","Somewhat satisfied","Rajasthan",6854231.1874621,0.110489004074393
"145","Somewhat unsatisfied","Rajasthan",2942603.06766552,0.0474342451312911
"146","Very satisfied","Rajasthan",48972967.7383311,0.789435646972844
"147","Very unsatisfied","Rajasthan",19247.93927255,0.000310273403762428
"148","Don't Know","Sikkim",0,0
"149","Neither satisfied nor unsatisfied","Sikkim",6935.26253861989,0.0197952311322925
"150","No Response","Sikkim",0,0
"151","Somewhat satisfied","Sikkim",200532.575238465,0.572377563833251
"152","Somewhat unsatisfied","Sikkim",0,0
"153","Very satisfied","Sikkim",142882.3295067,0.407827205034457
"154","Very unsatisfied","Sikkim",0,0
"155","Don't Know","Tamil Nadu",145245.580296424,0.00146110583795488
"156","Neither satisfied nor unsatisfied","Tamil Nadu",9487858.78717494,0.0954436330203025
"157","No Response","Tamil Nadu",126744.530990898,0.00127499352325706
"158","Somewhat satisfied","Tamil Nadu",35557986.9742049,0.357697509610304
"159","Somewhat unsatisfied","Tamil Nadu",5987926.07111708,0.0602358689462083
"160","Very satisfied","Tamil Nadu",46955723.8868113,0.472353665814823
"161","Very unsatisfied","Tamil Nadu",1146494.42888085,0.0115332232471503
"162","Don't Know","Telangana",0,0
"163","Neither satisfied nor unsatisfied","Telangana",1013419.4515737,0.021201072223775
"164","No Response","Telangana",0,0
"165","Somewhat satisfied","Telangana",13735642.3758281,0.287354210142371
"166","Somewhat unsatisfied","Telangana",542855.430793261,0.0113567162910129
"167","Very satisfied","Telangana",32508469.4806062,0.680088001342841
"168","Very unsatisfied","Telangana",0,0
"169","Don't Know","Tripura",0,0
"170","Neither satisfied nor unsatisfied","Tripura",1522506.4257846,0.340522216539188
"171","No Response","Tripura",0,0
"172","Somewhat satisfied","Tripura",1475044.95093362,0.32990703203634
"173","Somewhat unsatisfied","Tripura",30589.1669957986,0.0068415415338092
"174","Very satisfied","Tripura",1442952.24212008,0.322729209890662
"175","Very unsatisfied","Tripura",0,0
"176","Don't Know","Uttar Pradesh",34272.6697246723,0.000184717879630785
"177","Neither satisfied nor unsatisfied","Uttar Pradesh",6745445.01820248,0.0363556242025531
"178","No Response","Uttar Pradesh",6475.6413193218,3.49014752385491e-05
"179","Somewhat satisfied","Uttar Pradesh",33769857.0151574,0.182007892393166
"180","Somewhat unsatisfied","Uttar Pradesh",1114953.80904692,0.00600921682343156
"181","Very satisfied","Uttar Pradesh",140113488.032206,0.755163418108359
"182","Very unsatisfied","Uttar Pradesh",3756126.80139909,0.0202442291176206
"183","Don't Know","Uttarakhand",0,0
"184","Neither satisfied nor unsatisfied","Uttarakhand",147568.947938715,0.0123085643320042
"185","No Response","Uttarakhand",2653.75053519288,0.000221346425787879
"186","Somewhat satisfied","Uttarakhand",1309244.23918178,0.109202628123142
"187","Somewhat unsatisfied","Uttarakhand",32245.3084245027,0.00268954586105158
"188","Very satisfied","Uttarakhand",10486248.7978959,0.874646527831223
"189","Very unsatisfied","Uttarakhand",11166.5226737785,0.000931387426791618
"190","Don't Know","West Bengal",0,0
"191","Neither satisfied nor unsatisfied","West Bengal",8503690.60013096,0.079724407570905
"192","No Response","West Bengal",0,0
"193","Somewhat satisfied","West Bengal",75467736.4835911,0.707530514078066
"194","Somewhat unsatisfied","West Bengal",1222701.08491002,0.0114631545542418
"195","Very satisfied","West Bengal",21308050.1715831,0.199768754097712
"196","Very unsatisfied","West Bengal",161400.094882979,0.00151316969907574
